CNPJ_Fundo;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 202;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 102;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 109;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 203;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 204;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 209;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 210;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 201;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 104;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-09-30;1;Imóveis para renda em construção;Unidade 103;Concretagem dos pilares/ vigas e lajes (Terro e 1º subsolo);N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 209;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 109;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 202;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 210;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 204;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 104;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 103;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 102;N/A;N/A
31.469.385/0001-64;2020-12-31;2;Imóveis para renda em construção;Unidade 201;N/A;N/A
