CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Endereco_Imovel;Justificativa_Evolucao_Inferior_Previsto;Justificativa_Custo_Superior_Previsto
28.516.650/0001-03;2022-12-31;1;Imóveis para venda em construção;Alpha Houses I;Obra em fase de limpeza e aguardando a vistoria para emissão do habite-se.;N/A
29.242.844/0001-20;2022-03-31;1;Imóveis para venda em construção;Rua Gabriel Monteira da Silva, 2906;não há evolução inferior.;não há custos superiores.
29.242.844/0001-20;2022-06-30;1;Imóveis para venda em construção;Rua Gabriel Monteira da Silva, 2906;não há evolução inferior.;não há custos superiores.
29.242.844/0001-20;2022-09-30;1;Imóveis para venda em construção;Rua Gabriel Monteira da Silva, 2906;não há evolução inferior.;não há custos superiores.
29.242.844/0001-20;2022-12-31;1;Imóveis para renda em construção;Rua Gabriel Monteira da Silva, 2906;não há evolução inferior.;não há custos superiores.
30.017.492/0001-99;2022-03-31;1;Imóveis para renda em construção;.;.;.
30.017.492/0001-99;2022-06-30;1;Imóveis para renda em construção;.;.;.
30.017.492/0001-99;2022-09-30;1;Imóveis para renda em construção;.;.;.
30.017.492/0001-99;2022-12-31;1;Imóveis para renda em construção;.;.;.
30.258.790/0001-70;2022-06-30;1;Imóveis para venda em construção;Shopping Votuporanga;Não se aplica;Não se aplica
30.258.790/0001-70;2022-09-30;1;Imóveis para venda em construção;Shopping Votuporanga;Não se aplica;Não se aplica
30.258.790/0001-70;2022-12-31;1;Imóveis para renda em construção;Não se aplica;Não se aplica;Não se aplica
30.629.603/0001-18;2022-03-31;1;Imóveis para renda em construção;Galpão Cajamar;Não Aplicável;Não Aplicável
30.629.603/0001-18;2022-06-30;1;Imóveis para renda em construção;Galpão Cajamar;Não Aplicável;Não Aplicável
30.629.603/0001-18;2022-09-30;1;Imóveis para renda em construção;Galpão Cajamar;100% concluída;Não Aplicável
30.629.603/0001-18;2022-12-31;1;Imóveis para renda em construção;Galpão Cajamar;100% concluída;Não Aplicável
30.654.849/0001-40;2022-03-31;2;Imóveis para renda em construção;Não possui informação apresentada;Não possui informação apresentada;Não possui informação apresentada
