CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Endereco_Imovel;Caracteristicas_Contratuais
22.340.978/0001-35;2021-12-31;1;DA MATRI;Não há
22.340.978/0001-35;2021-12-31;1;DOM PEDR;Não há
22.340.978/0001-35;2021-12-31;1;FLOR1;Não há
22.340.978/0001-35;2021-12-31;1;GLICERIO;Não há
22.340.978/0001-35;2021-12-31;1;INGL1;Não há
22.340.978/0001-35;2021-12-31;1;JABA1;Não há
22.340.978/0001-35;2021-12-31;1;LINS1;Não há
22.340.978/0001-35;2021-12-31;1;MARCILIO;Não há
22.340.978/0001-35;2021-12-31;1;NEWTON P;Não há
22.340.978/0001-35;2021-12-31;1;PARADA1;Não há
22.340.978/0001-35;2021-12-31;1;SANTANA1;Não há
22.340.978/0001-35;2021-12-31;1;SOLDADO;Não há
22.340.978/0001-35;2021-12-31;1;TAGUAIBA;Não há
22.340.978/0001-35;2021-12-31;1;VIANCO;Não há
22.340.978/0001-35;2021-12-31;1;VISC1;Não há
22.340.978/0001-35;2021-12-31;1;PENHA;Não há
22.340.978/0001-35;2021-12-31;1;FLAMBOYANT;Não há
22.340.978/0001-35;2021-12-31;1;CESAR MOTA;Não há
22.459.737/0001-00;2021-03-31;1;Gravataí Shopping Center;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-03-31;1;Shopping Lajeado;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-06-30;1;Gravataí Shopping Center;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-06-30;1;Shopping Lajeado;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-09-30;1;Gravataí Shopping Center;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-09-30;1;Shopping Lajeado;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-12-31;1;Shopping Lajeado;Não possui caracteristicas que destoem dos demais
22.459.737/0001-00;2021-12-31;1;Gravatai Shopping Center;Não possui caracteristicas que destoem dos demais
22.503.991/0001-68;2021-12-31;1;Imóvel Brás;Possui 20% do imóvel
22.862.226/0001-34;2021-03-31;1;N/A;N/A
22.862.226/0001-34;2021-06-30;1;Não se aplica;Não se aplica
22.862.226/0001-34;2021-09-30;1;Não se aplica;Não se aplica
22.862.226/0001-34;2021-12-31;1;Não se aplica;Não se aplica
23.120.006/0001-06;2021-03-31;1;não há.;não há.
23.120.006/0001-06;2021-06-30;1;não há.;não há.
23.120.006/0001-06;2021-09-30;1;Não há;Não há
23.120.006/0001-06;2021-12-31;1;Não há;Não há
23.120.027/0001-13;2021-03-31;1;Cidade Jardim Continental Tower;Os itens citados tem as mesmas características em todos os contratos.
23.120.027/0001-13;2021-06-30;1;Cidade Jardim Continental Tower;Os itens citados tem as mesmas características em todos os contratos.
23.120.027/0001-13;2021-09-30;1;Cidade Jardim Continental Tower;Os itens citados tem as mesmas características em todos os contratos.
23.120.027/0001-13;2021-12-31;1;Cidade Jardim Continental Tower;Os itens citados tem as mesmas características em todos os contratos.
23.120.098/0001-16;2021-03-31;1;não há;não há
23.120.098/0001-16;2021-06-30;1;não há;não há
23.120.098/0001-16;2021-09-30;1;não há;não há
23.120.098/0001-16;2021-12-31;1;não há;não há
23.426.470/0001-17;2021-03-31;1;n. 1000 da Estrada dos Palmares, Campo Grande, Rio de Janeiro;Cabe à locatária contratar seguro patrimonial para o empreendimento
23.426.470/0001-17;2021-06-30;1;n. 1000 da Estrada dos Palmares, Campo Grande, Rio de Janeiro;Cabe à locatária contratar seguro patrimonial para o empreendimento
23.426.470/0001-17;2021-06-30;1;Galpão Logístico - Dafiti;Conforme contrato.
23.426.470/0001-17;2021-09-30;1;n. 1000 da Estrada dos Palmares, Campo Grande, Rio de Janeiro;Cabe à locatária contratar seguro patrimonial para o empreendimento
23.426.470/0001-17;2021-09-30;1;Galpão Logístico - Dafiti;Conforme contrato.
23.426.470/0001-17;2021-12-31;1;n. 1000 da Estrada dos Palmares, Campo Grande, Rio de Janeiro;Cabe à locatária contratar seguro patrimonial para o empreendimento
23.426.470/0001-17;2021-12-31;1;Galpão Logístico - Dafiti;Conforme contrato.
23.532.837/0001-87;2021-03-31;2;N/A;N/A
23.532.837/0001-87;2021-06-30;1;N/A;N/A
23.532.837/0001-87;2021-09-30;1;N/A;N/A
23.532.837/0001-87;2021-12-31;1;N/A;N/A
23.533.796/0001-43;2021-03-31;2;WTORRE JK - TORRE D;N/A
23.533.796/0001-43;2021-06-30;1;WTORRE JK - TORRE D;N/A
23.533.796/0001-43;2021-09-30;1;WTORRE JK - TORRE D;N/A
23.533.796/0001-43;2021-12-31;1;WTORRE JK - TORRE D;N/A
23.537.203/0001-17;2021-03-31;1;Condomínio Edifício Mayrink Veiga;Não possui caracteristicas que destoem dos demais
23.537.203/0001-17;2021-06-30;1;Condomínio Edifício Mayrink Veiga;Não possui caracteristicas que destoem dos demais
23.537.203/0001-17;2021-09-30;1;Condomínio Edifício Mayrink Veiga;Não possui caracteristicas que destoem dos demais
